Provincia,Comunidad autónoma,Capital,Ciudad más poblada*,Código postal,Código Ministerio del Interior,Superficie (km²),Población,Densidad (hab./km²),Presupuesto (€),Extranjeros totales,% de extranjeros,Porcentaje población,Porcentaje superficie,PIB_2016,PIB_2017,PIB_2018,PIB_2019,PIB_2020,PIB_2021,PIB_2022,PIB_2023,TCAC 2016-23,Órgano de gobierno y administración,Sede (ciudad)
Málaga,Andalucía,Málaga,Málaga,29,MA,7308.0,1791183,245.17,976600000.0,320766,20.0,3.65,1.44,28513572,29891621,31204388,32530116,28516619,32619883,37226438,41235144,44.62,Diputación de Málaga,
Navarra,Navarra,Pamplona,Pamplona,31,,10391.0,683854,65.81,259000000.0,84896,13.6,1.39,2.05,18911331,19698794,20235995,21070268,19160726,20821017,23204474,24975376,32.07,No tiene[9]​,No tiene[9]​
Ourense,Galicia,Orense,Orense,32,OR / OU,7273.0,305278,41.97,103126070.0,20924,5.4,0.62,1.44,6317422,6517804,6785155,7138919,6420384,7262638,8128954,8914517,41.11,Diputación de Orense,
Palencia,Castilla y León,Palencia,Palencia,34,P,8052.0,158702,19.71,92868777.0,9356,3.8,0.32,1.59,4171878,4070286,4375118,4417915,4042436,4326851,4713440,5047540,20.99,Diputación de Palencia,Palacio de la Diputación de Palencia (Palencia)
Pontevedra,Galicia,Pontevedra,Vigo,36,PO,4495.0,947818,210.86,120591629.0,47105,10.9,1.93,0.89,19322194,20556330,20883374,21720786,20140306,21957653,23720820,25662611,32.81,Diputación de Pontevedra,Palacio de la Diputación de Pontevedra (Pontevedra)
Salamanca,Castilla y León,Salamanca,Salamanca,37,SA,12350.0,328446,26.59,181471677.0,20516,5.4,0.67,2.44,6511439,6692406,6894146,7149679,6583497,7386843,8647606,9604292,47.5,Diputación de Salamanca,Palacio de La Salina (Salamanca)
Santa Cruz de Tenerife,Canarias,Santa Cruz de Tenerife,Santa Cruz de Tenerife,38,TF,3381.0,1087319,321.6,313500000.0,161983,15.8,2.21,0.67,19846216,20946160,21634954,22288142,18427897,20043168,23424330,25865458,30.33,No tiene[10]​,No tiene[10]​
Segovia,Castilla y León,Segovia,Segovia,40,SG,6921.0,158251,22.87,,21309,5.9,0.32,1.37,3377877,3260124,3377956,3482508,3163709,3646707,4049897,4408019,30.5,Diputación de Segovia,
Sevilla,Andalucía,Sevilla,Sevilla,41,SE,14036.0,1977664,140.9,1158000000.0,94994,14.4,4.03,2.77,36674889,38290656,39602392,40899272,37457375,41574995,45485662,48846749,33.19,Diputación de Sevilla,
Soria,Castilla y León,Soria,Soria,42,SO,10306.0,90183,8.75,79900000.0,10936,4.3,0.18,2.04,2163618,2209607,2492230,2530167,2291715,2555836,2709532,2825443,30.59,Diputación de Soria,
Tarragona,Cataluña,Tarragona,Tarragona,43,T,6303.0,875530,138.91,187000000.0,155717,15.4,1.78,1.25,23056357,24106231,24294389,24779819,21581103,24600611,27455651,29471710,27.82,Diputación de Tarragona,
Teruel,Aragón,Teruel,Teruel,44,TE,14810.0,136091,9.19,59549000.0,17169,5.0,0.28,2.93,3256277,3222753,3381320,3422528,3120527,3529024,4072915,4324273,32.8,Diputación de Teruel,
Toledo,Castilla-La Mancha,Toledo,Toledo,45,TO,15370.0,755081,49.13,114000000.0,90060,13.7,1.54,3.04,12179643,12558737,13119285,13514472,12582448,14009858,15827632,17074065,40.19,Diputación de Toledo,Edificio de la Diputación de Toledo (Toledo)
Valencia,Comunidad Valenciana,Valencia,Valencia,46,V,10763.0,2763996,256.5,1042800000.0,388076,20.8,5.63,2.14,56083303,57737744,60600750,62645457,57222556,62141233,68288134,75521155,34.66,Diputación de Valencia,Palacio de la Baylía (Valencia)
Valladolid,Castilla y León,Valladolid,Valladolid,47,VA,8110.0,528644,65.18,404000000.0,36139,8.4,1.08,1.6,13121197,13737381,14353734,14611199,13556027,13949687,15264558,16425196,25.18,Diputación de Valladolid,Palacio de Pimentel (Valladolid)
Zamora,Castilla y León,Zamora,Zamora,49,ZA,10561.0,165564,15.68,68716344.0,8199,3.5,0.34,2.09,3477147,3261080,3369888,3490956,3204009,3673777,4146391,4359052,25.36,Diputación de Zamora,Hospital de la Encarnación (Zamora)
Zaragoza,Aragón,Zaragoza,Zaragoza,50,Z,17274.0,998443,57.8,895291170.0,146263,15.1,2.03,3.41,25061759,26485627,27492854,28475192,26504006,28473028,31964054,34285966,36.81,Diputación de Zaragoza,Palacio de la Diputación Provincial (Zaragoza)
Ávila,Castilla y León,Ávila,Ávila,5,AV,8050.0,160738,19.97,61700000.0,13085,4.9,0.33,1.59,3003333,3087954,3191993,3296499,3056383,3247657,3468682,3726678,24.08,Diputación de Ávila,Torreón de los Guzmanes[2]​ (Ávila)
