Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2017;29.219
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2016;28.394
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2023;15.590
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2022;14.658
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2021;13.987
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2020;13.490
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2019;13.344
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2018;12.905
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2017;12.396
Total Nacional;Castilla y León;Valladolid;;Renta neta media por persona;2016;12.050
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2023;36.785
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2022;34.708
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2021;33.348
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2020;32.397
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2019;32.247
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2018;31.296
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2017;30.288
Total Nacional;Castilla y León;Valladolid;;Renta neta media por hogar;2016;29.735
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2023;13.897
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2022;12.913
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2021;12.292
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2020;11.737
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2019;11.520
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2018;10.971
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2017;10.431
Total Nacional;Castilla y León;Zamora;;Renta neta media por persona;2016;10.102
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2023;29.891
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2022;27.928
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2021;26.846
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2020;25.855
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2019;25.593
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2018;24.524
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2017;23.602
Total Nacional;Castilla y León;Zamora;;Renta neta media por hogar;2016;23.106
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2023;13.058
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2022;12.305
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2021;11.652
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2020;11.104
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2019;10.901
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2018;10.351
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2017;9.847
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por persona;2016;9.446
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2023;32.600
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2022;30.908
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2021;29.451
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2020;28.288
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2019;27.995
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2018;26.719
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2017;25.627
Total Nacional;Castilla - La Mancha;Albacete;;Renta neta media por hogar;2016;24.785
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2023;12.529
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2022;11.724
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2021;11.051
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2020;10.570
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2019;10.431
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2018;10.001
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2017;9.482
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por persona;2016;9.056
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2023;31.095
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2022;29.290
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2021;27.895
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2020;26.842
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2019;26.691
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2018;25.698
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2017;24.608
Total Nacional;Castilla - La Mancha;Ciudad Real;;Renta neta media por hogar;2016;23.845
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2023;12.725
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2022;12.022
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2021;11.550
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2020;10.991
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2019;10.680
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2018;10.212
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2017;9.722
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2016;9.224
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2023;30.641
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2022;29.064
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2021;27.927
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2020;26.719
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2019;26.140
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2018;25.019
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2017;23.986
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por hogar;2016;23.314
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2023;14.689
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2022;13.829
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2021;13.149
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2020;12.624
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2019;12.521
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2018;12.083
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2017;11.600
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2016;11.212
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2023;37.803
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2022;35.509
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2021;33.609
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2020;32.431
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2019;32.329
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2018;31.083
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2017;29.862
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por hogar;2016;29.080
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2023;12.422
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2022;11.614
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2021;10.998
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2020;10.533
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2019;10.413
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2018;9.955
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2017;9.512
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2016;9.085
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2023;32.711
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2022;30.626
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2021;28.990
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2020;27.906
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2019;27.705
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2018;26.489
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2017;25.374
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por hogar;2016;24.502
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2023;17.062
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2022;16.105
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2021;15.297
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2020;14.676
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2019;14.656
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2018;14.198
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2017;13.622
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2016;13.256
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2023;44.243
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2022;41.594
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2021;39.511
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2020;38.226
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2019;38.386
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2018;37.044
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2017;35.469
Total Nacional;Cataluña;Barcelona;;Renta neta media por hogar;2016;34.679
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2023;15.130
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2022;14.176
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2021;13.485
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2020;12.865
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2019;12.843
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2018;12.355
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2017;11.841
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2016;11.409
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2023;40.105
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2022;37.444
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2021;35.585
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2020;34.212
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2019;34.301
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2018;32.943
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2017;31.537
Total Nacional;Cataluña;Girona;;Renta neta media por hogar;2016;30.536
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2023;14.713
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2022;13.865
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2021;13.334
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2020;12.896
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2019;12.618
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2018;12.124
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2017;11.624
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2016;11.208
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2023;37.826
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2022;35.640
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2021;34.308
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2020;33.305
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2019;32.796
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2018;31.474
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2017;29.856
Total Nacional;Cataluña;Lleida;;Renta neta media por hogar;2016;28.957
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2023;14.559
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2022;13.673
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2021;13.086
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2020;12.491
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2019;12.432
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2018;12.011
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2017;11.506
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2016;11.119
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2023;37.029
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2022;34.872
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2021;33.304
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2020;31.975
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2019;32.054
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2018;30.952
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2017;29.703
Total Nacional;Cataluña;Tarragona;;Renta neta media por hogar;2016;29.022
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2023;12.313
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2022;11.378
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2021;10.770
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2020;10.236
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2019;10.177
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2018;9.736
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2017;9.313
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2016;8.814
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2023;31.507
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2022;28.965
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2021;27.380
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2020;26.274
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2019;26.293
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2018;25.161
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2017;24.112
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por hogar;2016;23.165
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2023;14.029
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2022;13.305
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2021;12.680
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2020;12.079
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2019;11.987
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2018;11.461
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2017;10.958
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2016;10.504
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2023;34.497
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2022;32.694
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2021;31.163
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2020;29.875
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2019;29.847
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2018;28.557
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2017;27.398
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por hogar;2016;26.457
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2023;14.435
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2022;13.548
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2021;12.823
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2020;12.333
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2019;12.145
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2018;11.634
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2017;11.041
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2016;10.641
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2023;36.532
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2022;34.198
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2021;32.317
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2020;31.208
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2019;31.017
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2018;29.710
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2017;28.274
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por hogar;2016;27.426
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2023;12.068
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2022;11.158
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2021;10.549
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2020;10.001
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2019;9.895
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2018;9.417
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2017;8.971
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2016;8.643
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2023;29.231
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2022;27.243
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2021;26.050
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2020;24.905
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2019;24.819
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2018;23.780
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2017;22.872
Total Nacional;Extremadura;Badajoz;;Renta neta media por hogar;2016;22.222
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2023;12.771
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2022;11.786
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2021;11.238
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2020;10.660
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2019;10.537
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2018;10.009
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2017;9.544
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2016;9.247
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2023;28.614
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2022;26.529
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2021;25.497
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2020;24.373
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2019;24.262
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2018;23.205
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2017;22.359
Total Nacional;Extremadura;Cáceres;;Renta neta media por hogar;2016;21.765
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2023;15.319
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2022;14.294
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2021;13.319
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2020;12.841
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2019;12.764
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2018;12.207
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2017;11.706
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2016;11.383
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2023;36.978
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2022;34.683
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2021;32.643
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2020;31.710
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2019;31.785
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2018;30.546
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2017;29.444
Total Nacional;Galicia;Coruña, A;;Renta neta media por hogar;2016;28.750
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2023;14.316
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2022;13.362
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2021;12.560
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2020;12.021
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2019;11.856
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2018;11.335
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2017;10.878
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2016;10.541
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2023;32.837
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2022;30.709
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2021;29.158
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2020;28.176
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2019;28.067
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2018;26.977
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2017;26.118
Total Nacional;Galicia;Lugo;;Renta neta media por hogar;2016;25.500
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2023;14.049
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2022;13.043
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2021;12.365
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2020;11.937
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2019;11.729
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2018;11.230
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2017;10.729
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2016;10.415
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2023;31.170
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2022;29.073
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2021;27.727
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2020;26.979
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2019;26.720
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2018;25.642
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2017;24.730
Total Nacional;Galicia;Ourense;;Renta neta media por hogar;2016;24.203
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2023;14.137
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2022;13.170
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2021;12.425
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2020;11.881
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2019;11.726
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2018;11.220
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2017;10.726
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2016;10.353
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2023;35.506
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2022;33.230
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2021;31.541
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2020;30.475
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2019;30.315
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2018;29.129
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2017;28.117
Total Nacional;Galicia;Pontevedra;;Renta neta media por hogar;2016;27.364
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2023;18.142
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2022;17.131
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2021;16.146
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2020;15.579
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2019;15.520
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2018;15.153
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2017;14.461
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2016;14.104
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2023;48.806
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2022;45.726
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2021;43.037
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2020;41.830
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2019;42.058
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2018;40.929
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2017;38.983
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por hogar;2016;38.297
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2023;12.446
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2022;11.599
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2021;11.023
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2020;10.574
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2019;10.422
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2018;9.948
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2017;9.518
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2016;9.124
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2023;34.951
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2022;32.743
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2021;31.262
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2020;30.171
