Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2019;30.351
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2018;29.278
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2017;28.105
Total Nacional;Aragón;Teruel;;Renta neta media por hogar;2016;27.545
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2023;15.650
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2022;14.750
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2021;14.087
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2020;13.637
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2019;13.516
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2018;13.063
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2017;12.592
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2016;12.008
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2023;38.230
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2022;36.098
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2021;34.492
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2020;33.654
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2019;33.505
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2018;32.328
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2017;31.268
Total Nacional;Aragón;Zaragoza;;Renta neta media por hogar;2016;30.586
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2023;15.784
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2022;14.842
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2021;14.057
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2020;13.505
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2019;13.465
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2018;12.923
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2017;12.489
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2016;12.147
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2023;35.265
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2022;33.242
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2021;31.623
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2020;30.658
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2019;30.798
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2018;29.637
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2017;28.866
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por hogar;2016;28.303
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2023;16.118
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2022;14.740
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2021;13.468
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2020;12.486
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2019;13.428
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2018;12.893
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2017;12.297
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2016;11.488
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2023;44.812
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2022;40.597
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2021;36.905
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2020;34.531
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2019;37.375
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2018;35.728
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2017;33.972
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por hogar;2016;32.447
